capacity,alpha_previous,alpha_current,vdo_previous,vdo_current,vdo_change,dynamic_changed_products,dynamic_changed_cells,myopic_changed_products,myopic_changed_cells
1,2.2,2.24,1.1206413106683613,6.5212218461356315,5.40058053546727,3800000127,1,3800000110|3800000127,6
2,2.6,2.65,34.46800327349774,30.04795779911501,-4.420045474382732,1600066590|3800000110|3800000127,13,1600066590|3800000110,16
2,2.15,2.2,17.212587305259603,12.85434124960966,-4.358246055649943,3800000127,3,,0
3,2.15,2.2,18.489903568198315,14.207352151325722,-4.282551416872593,3800000127,3,,0
8,2.15,2.2,18.950194328044745,14.707830811779331,-4.242363516265414,3800000127,4,,0
8,3.05,3.1,69.28816488461598,73.43861687611297,4.150451991496993,1600066590|3800000110,4,,0
1,2.25,2.3,7.587670632858135,3.7792729306775072,-3.8083977021806277,3800000110|3800000127,4,,0
1,1.9,1.95,4.41405566047888,1.1977252356350618,-3.216330424843818,1600066510|3800000110,11,,0
2,2.65,2.7,30.04795779911501,32.892368023897234,2.844410224782223,1600066610,3,,0
2,2.75,2.8,41.23571740313491,38.68885036845222,-2.546867034682691,1600066590|3800000110|3800000120|3800001611,6,,0
2,1.6,1.65,0.3915904420300649,2.926959254150006,2.535368812119941,3800000120,3,3800000120,4
3,1.6,1.65,0.3915904420300649,2.926959254150006,2.535368812119941,3800000120,3,3800000120,4
8,1.6,1.65,0.3915904420300649,2.926959254150006,2.535368812119941,3800000120,3,3800000120,4
1,3.0,3.05,0.2723066906037275,2.7947251864270584,2.522418495823331,,0,1600066590|3800000127,2
3,2.65,2.7,33.028542836082124,30.53453741365047,-2.4940054224316555,1600066610|3800001611,6,,0
3,3.15,3.2,43.48264801732603,41.226537169672156,-2.256110847653872,,0,3800001520|3800001611,16
2,3.15,3.2,38.179858346280525,40.305988906358834,2.126130560078309,1600066590|3800000120|3800001520|3800001611,12,3800001520|3800001611,2
3,2.6,2.65,35.132312543472835,33.028542836082124,-2.103769707390711,3800000110|3800001611,3,1600066610,4
1,1.6,1.65,0.3915904420300649,2.472650921957211,2.081060479927146,3800000110|3800000120,5,3800000120,4
1,1.65,1.7,2.472650921957211,0.7059363261500948,-1.766714595807116,3800000110|3800000120,12,3800000110|3800000120,16
8,2.9,2.95,62.65439881531893,60.99438834010198,-1.66001047521695,3800001520,4,,0
3,3.0,3.05,37.50226438602749,39.1385106001253,1.6362462140978096,1600066590|3800000110|3800000127|3800001520,21,,0
3,2.3,2.35,16.67896706811007,18.302303766207842,1.6233366980977735,3800000110|3800000127,12,,0
3,1.65,1.7,2.926959254150006,1.3805123894417193,-1.5464468647082867,3800000120,6,,0
2,1.65,1.7,2.926959254150006,1.3805123894417193,-1.5464468647082867,3800000120,6,,0
8,1.65,1.7,2.926959254150006,1.3805123894417193,-1.5464468647082867,3800000120,6,,0
2,3.05,3.1,33.958671888922254,35.411070736514375,1.4523988475921215,1600066590|3800000110|3800000120|3800001520|3800001611,14,,0
2,2.2,2.24,12.85434124960966,14.213811950979107,1.359470701369446,3800000127,5,,0
3,2.7,2.75,30.53453741365047,31.830200588743992,1.295663175093523,3800000110|3800001611,11,,0
3,2.95,3.0,38.780742285601264,37.50226438602749,-1.2784778995737724,3800001520,1,,0
1,2.4,2.45,1.1820731256852923,1.4281674339144956e-05,-1.1820588440109532,1600066510|3800000110|3800000120|3800000127,18,,0
8,2.65,2.7,39.992959908779994,41.07216145225948,1.0792015434794848,1600066610|3800000127|3800001611,9,,0
1,2.24,2.25,6.5212218461356315,7.587670632858135,1.0664487867225034,,0,3800000110|3800000127,2
2,2.9,2.95,35.18422201062276,34.196641295147856,-0.9875807154749054,3800000110|3800001611,2,,0
1,3.15,3.2,2.487054944972442,3.4385655264813977,0.9515105815089555,,0,1600066590|3800000127,2
8,2.6,2.65,40.733537643036925,39.992959908779994,-0.7405777342569309,3800001611,1,1600066610,4
3,1.9,1.95,6.167565849377752,6.8938398822433555,0.7262740328656037,1600066510,3,,0
8,1.9,1.95,6.167565849377752,6.8938398822433555,0.7262740328656037,1600066510,3,,0
3,2.2,2.24,14.207352151325722,14.769068696171416,0.5617165448456944,3800000127,5,3800000110|3800000127,16
1,1.75,1.8,1.1930621149240324,1.7154510720934013,0.522388957169369,3800000110|3800000120,4,,0
2,2.95,3.0,34.196641295147856,33.674436094616794,-0.5222052005310616,3800000110|3800001611,2,,0
2,1.9,1.95,5.458927059553844,5.919302174413588,0.4603751148597439,1600066510|3800000110,9,,0
1,1.55,1.6,0.6894057012755184,0.3915904420300649,-0.2978152592454535,3800000110,4,,0
2,1.55,1.6,0.6894057012755184,0.3915904420300649,-0.2978152592454535,3800000110,4,,0
3,1.55,1.6,0.6894057012755184,0.3915904420300649,-0.2978152592454535,3800000110,4,,0
8,1.55,1.6,0.6894057012755184,0.3915904420300649,-0.2978152592454535,3800000110,4,,0
1,2.95,3.0,2.344639324292075e-05,0.2723066906037275,0.27228324421048455,1600066510|1600066590|3800000120|3800000127,18,,0
